Id,SkuId,FieldId,FieldValueId,Text
0,402,558,158,
0,351,558,158,
0,1936,558,158,
0,1301,558,159,
0,1293,558,159,
0,274,558,159,
0,1379,558,159,
0,1422,558,160,
0,1025,558,160,
0,1354,558,160,
0,1703,558,160,
0,893,558,160,
0,890,558,161,
0,2264,558,161,
0,1862,558,161,
0,2492,558,161,
0,887,558,162,
0,1624,558,162,
0,974,558,162,
0,1736,558,163,
0,996,558,163,
0,1396,558,163,
0,460,558,163,
0,2062,558,163,
0,1680,558,164,
0,623,558,164,
0,154,558,164,
0,2103,558,165,
0,687,558,165,
0,1665,558,166,
0,965,558,166,
0,866,558,166,
0,140,558,167,
0,1149,558,167,
0,1265,558,167,
0,2313,558,168,
0,385,558,168,
0,293,558,168,
0,1043,558,168,
0,2439,558,169,
0,2071,558,169,
0,1531,558,169,
0,662,558,170,
0,2155,558,170,
0,900,558,170,
0,1599,558,170,
0,576,558,170,
0,1170,558,171,
0,188,558,171,
0,1086,558,171,
0,63,559,174,
0,1475,559,174,
0,568,559,174,
0,129,559,174,
0,975,559,174,
0,731,559,174,
0,1717,559,174,
0,830,559,174,
0,901,559,174,
0,245,559,174,
0,1302,559,174,
0,857,559,174,
0,108,559,174,
0,281,559,174,
0,1700,559,174,
0,551,559,174,
0,1716,559,174,
0,1578,559,174,
0,1669,559,174,
0,1213,559,174,
0,787,559,175,
0,1360,559,175,
0,1420,559,175,
0,48,559,175,
0,591,559,175,
0,1335,559,175,
0,1076,559,175,
0,1162,559,175,
0,1182,559,175,
0,1365,559,175,
0,720,559,175,
0,219,559,175,
0,117,559,175,
0,923,559,175,
0,884,559,175,
0,679,559,176,
0,540,559,176,
0,716,559,176,
0,978,559,176,
0,1012,559,176,
0,132,559,176,
0,937,559,176,
0,519,559,176,
0,97,559,176,
0,556,559,177,
0,1582,559,177,
0,656,559,177,
0,1269,559,177,
0,1257,559,177,
0,1448,559,177,
0,817,558,179,
0,2491,558,179,
0,1053,558,179,
0,1662,558,179,
0,1212,558,180,
0,2197,558,180,
0,1116,558,180,
0,2407,558,180,
0,696,558,180,
0,1440,558,181,
0,1597,558,181,
0,359,558,159,
0,2161,558,159,
0,1087,558,159,
0,2435,558,182,
0,2531,558,182,
0,2051,558,182,
0,2287,558,183,
0,1606,558,183,
0,1478,558,183,
0,1367,558,183,
0,367,558,184,
0,770,558,184,
0,30,558,185,
0,406,558,185,
0,71,558,186,
0,1526,558,186,
0,337,558,186,
0,933,558,186,
0,1326,558,187,
0,2415,558,187,
0,2616,558,187,
0,83,558,188,
0,2337,558,188,
0,1098,558,188,
0,222,558,188,
0,1094,558,188,
0,1968,558,169,
0,2216,558,169,
0,13,558,169,
0,343,558,169,
0,1721,558,170,
0,941,558,170,
0,1753,558,170,
0,91,558,170,
0,2561,558,189,
0,711,558,189,
0,85,558,189,
0,1556,558,189,
0,2233,558,189,
0,1334,559,190,
0,1319,559,190,
0,2097,559,190,
0,1635,559,190,
0,1569,559,190,
0,1191,559,190,
0,1656,559,190,
0,740,559,190,
0,1203,559,190,
0,1147,559,191,
0,1063,559,191,
0,414,559,191,
0,1567,559,191,
0,439,559,191,
0,1523,559,191,
0,1611,559,191,
0,232,559,191,
0,287,559,191,
0,1490,559,191,
0,1514,559,191,
0,769,559,192,
0,1558,559,192,
0,919,559,192,
0,1237,559,192,
0,585,559,193,
0,871,559,193,
0,617,559,193,
0,1975,559,193,
0,1492,559,193,
0,1756,559,193,
0,1604,559,193,
0,639,559,193,
0,2093,559,193,
0,1710,559,193,
0,1473,559,193,
0,526,559,194,
0,283,559,194,
0,1967,559,194,
0,52,559,194,
0,1731,559,194,
0,160,559,194,
0,1890,559,194,
0,1205,559,194,
0,1838,559,194,
0,1961,559,194,
0,101,559,194,
0,1723,559,194,
0,1764,559,194,
0,2053,559,194,
0,346,559,194,
0,2735,560,196,
0,2553,560,196,
0,2019,560,196,
0,1923,560,196,
0,1547,560,196,
0,648,560,196,
0,1661,560,197,
0,432,560,197,
0,1589,560,197,
0,145,560,197,
0,2813,560,197,
0,2010,560,197,
0,616,560,198,
0,3030,560,198,
0,1922,560,198,
0,2129,560,198,
0,906,560,198,
0,1397,560,198,
0,809,560,199,
0,2150,560,199,
0,691,560,199,
0,2523,560,199,
0,1330,560,199,
0,2510,560,199,
0,1239,560,200,
0,2422,560,200,
0,2917,560,200,
0,2158,560,200,
0,2708,560,200,
0,2277,560,200,
0,1122,560,201,
0,1283,560,201,
0,1842,560,201,
0,2046,560,201,
0,2529,560,201,
0,2469,560,201,
0,2764,560,202,
0,2343,560,202,
0,2137,560,202,
0,514,560,202,
0,289,560,202,
0,2570,560,202,
0,1372,560,203,
0,1173,560,203,
0,8,560,203,
0,1206,560,203,
0,1809,560,203,
0,271,560,203,
0,1522,559,205,
0,4,559,205,
0,2603,559,205,
0,1411,559,205,
0,321,559,205,
0,1115,559,205,
0,368,559,205,
0,583,559,205,
0,2282,559,205,
0,837,559,205,
0,2307,559,206,
0,2700,559,206,
0,2349,559,206,
0,309,559,206,
0,187,559,206,
0,2449,559,206,
0,1790,559,206,
0,1689,559,206,
0,1103,559,206,
0,2465,559,206,
0,2069,559,206,
0,1832,559,206,
0,1427,559,207,
0,1048,559,207,
0,601,559,207,
0,709,559,207,
0,2208,559,207,
0,2443,559,207,
0,92,559,207,
0,1951,559,207,
0,1605,559,207,
0,1908,559,207,
0,1870,559,207,
0,2219,559,207,
0,1548,559,207,
0,1254,559,207,
0,966,559,207,
0,1929,559,208,
0,2542,559,208,
0,1300,559,208,
0,2193,559,208,
0,1566,559,208,
0,2112,559,208,
0,2543,559,208,
0,2157,559,208,
0,1541,559,208,
0,1891,559,208,
0,1113,559,208,
0,2710,559,208,
0,480,559,208,
0,525,559,209,
0,2309,559,209,
0,524,559,209,
0,1575,559,209,
0,2088,559,209,
0,1685,559,209,
0,3216,559,209,
0,320,559,209,
0,1401,559,209,
0,29,559,209,
0,1126,559,209,
0,163,559,209,
0,189,559,209,
0,516,559,209,
0,1050,559,210,
0,748,559,210,
0,558,559,210,
0,2179,559,210,
0,645,559,210,
0,1610,559,210,
0,2284,559,210,
0,437,559,210,
0,896,559,210,
0,1102,559,210,
0,221,559,210,
0,3072,559,210,
0,1913,559,210,
0,1577,559,210,
0,1513,559,211,
0,344,559,211,
0,3071,559,211,
0,342,559,211,
0,1969,559,211,
0,1824,559,211,
0,2109,559,211,
0,469,559,211,
0,2930,559,211,
0,1067,559,211,
0,328,559,211,
0,1949,559,211,
0,1417,559,211,
0,3007,559,211,
0,659,559,211,
0,478,560,212,
0,2587,560,212,
0,2436,560,213,
0,927,560,213,
0,958,560,213,
0,1773,560,213,
0,2737,560,214,
0,567,560,214,
0,801,560,214,
0,1803,560,214,
0,1463,560,215,
0,2175,560,215,
0,676,560,215,
0,1230,560,215,
0,892,560,216,
0,2008,560,216,
0,2670,560,216,
0,1493,560,216,
