Id,FieldTypeId,CategoryId,FieldGroupId,Name,Description,Position,IsFilter,IsRequired,IsOnProductDetails,IsStockKeepingUnit,IsWizard,IsActive,IsTopMenuLinkActive,DefaultValue
,1,3,19,SizeChart,SizeChart,0,false,false,false,false,false,true,false,
,1,4,19,SizeChart,SizeChart,0,false,false,false,false,false,true,false,
,1,9,19,SizeChart,SizeChart,0,false,false,false,false,false,true,false,
,1,11,19,SizeChart,SizeChart,0,false,false,false,false,false,true,false,
,1,3,19,PageCodeFIN04A06,PageCodeFIN04A06,0,false,false,false,false,false,true,false,
,1,3,19,PageCodeFIN05A010,PageCodeFIN05A010,0,false,false,false,false,false,true,false,
,1,3,19,PageCodeFIN41A04,PageCodeFIN41A04,0,false,false,false,false,false,true,false,
,1,3,19,PageCodeFIN42A08,PageCodeFIN42A08,0,false,false,false,false,false,true,false,
,1,3,19,PageCodeFIN45A10,PageCodeFIN45A10,0,false,false,false,false,false,true,false,
,1,3,19,PageCodeINF23A16,PageCodeINF23A16,0,false,false,false,false,false,true,false,
,1,3,19,PageCodeINF27A06,PageCodeINF27A06,0,false,false,false,false,false,true,false,
,1,3,19,PageCodeINF28A11,PageCodeINF28A11,0,false,false,false,false,false,true,false,
,1,3,19,PageCodeINF29A06,PageCodeINF29A06,0,false,false,false,false,false,true,false,
,1,3,19,PageCodeINF32A03,PageCodeINF32A03,0,false,false,false,false,false,true,false,
,1,3,19,PageCodeINF35A16,PageCodeINF35A16,0,false,false,false,false,false,true,false,
,1,3,19,PageCodeINF38A05,PageCodeINF38A05,0,false,false,false,false,false,true,false,
,1,3,19,PageCodeINF40A10,PageCodeINF40A10,0,false,false,false,false,false,true,false,
,1,3,19,PageCodeINF47A15,PageCodeINF47A15,0,false,false,false,false,false,true,false,
,1,3,19,PageCodeINS01A13,PageCodeINS01A13,0,false,false,false,false,false,true,false,
,1,3,19,PageCodeINS04A14,PageCodeINS04A14,0,false,false,false,false,false,true,false,
,1,3,19,PageCodeINS07C10,PageCodeINS07C10,0,false,false,false,false,false,true,false,
,1,3,19,PageCodeINS09A12,PageCodeINS09A12,0,false,false,false,false,false,true,false,
,1,3,19,PageCodeINS11A17,PageCodeINS11A17,0,false,false,false,false,false,true,false,
,1,3,19,PageCodeINS19A11,PageCodeINS19A11,0,false,false,false,false,false,true,false,
,1,3,19,PageCodeINS39A07,PageCodeINS39A07,0,false,false,false,false,false,true,false,
,1,3,19,PageCodeNOL28A11,PageCodeNOL28A11,0,false,false,false,false,false,true,false,
,1,3,19,PageCodeNON07C01,PageCodeNON07C01,0,false,false,false,false,false,true,false,
,1,3,19,PageCodeONH01A31,PageCodeONH01A31,0,false,false,false,false,false,true,false,
,1,3,19,PageCodeSIN14A04,PageCodeSIN14A04,0,false,false,false,false,false,true,false,
,1,3,19,PageCodeSIN15A12,PageCodeSIN15A12,0,false,false,false,false,false,true,false,
,1,3,19,PageCodeSIN21A10,PageCodeSIN21A10,0,false,false,false,false,false,true,false,
,1,3,19,PageCodeSIN29A15,PageCodeSIN29A15,0,false,false,false,false,false,true,false,
,1,3,19,PageCodeSIN43A09,PageCodeSIN43A09,0,false,false,false,false,false,true,false,
,1,4,19,PageCodeFIN31A09,PageCodeFIN31A09,0,false,false,false,false,false,true,false,
,1,4,19,PageCodeFIN32A19,PageCodeFIN32A19,0,false,false,false,false,false,true,false,
,1,4,19,PageCodeINF27A07,PageCodeINF27A07,0,false,false,false,false,false,true,false,
,1,4,19,PageCodeINF29A06,PageCodeINF29A06,0,false,false,false,false,false,true,false,
,1,4,19,PageCodeINS01A12,PageCodeINS01A12,0,false,false,false,false,false,true,false,
,1,4,19,PageCodeINS07C09,PageCodeINS07C09,0,false,false,false,false,false,true,false,
,1,4,19,PageCodeINS17A05,PageCodeINS17A05,0,false,false,false,false,false,true,false,
,1,4,19,PageCodeINS17C11,PageCodeINS17C11,0,false,false,false,false,false,true,false,
,1,4,19,PageCodeINS23A11,PageCodeINS23A11,0,false,false,false,false,false,true,false,
,1,4,19,PageCodeONH01A31,PageCodeONH01A31,0,false,false,false,false,false,true,false,
,1,4,19,PageCodeSIN01A11,PageCodeSIN01A11,0,false,false,false,false,false,true,false,
,1,3,19,PageCodeFIN16A08,PageCodeFIN16A08,0,false,false,false,false,false,true,false,
,1,3,19,PageCodeFIN26A16,PageCodeFIN26A16,0,false,false,false,false,false,true,false,
,1,3,19,PageCodeINF24A05,PageCodeINF24A05,0,false,false,false,false,false,true,false,
,1,3,19,PageCodeINS39A08,PageCodeINS39A08,0,false,false,false,false,false,true,false,
,1,3,19,PageCodeINS39A09,PageCodeINS39A09,0,false,false,false,false,false,true,false,
,1,3,19,PageCodeSIN10A13,PageCodeSIN10A13,0,false,false,false,false,false,true,false,
,1,3,19,PageCodeSIN27A12,PageCodeSIN27A12,0,false,false,false,false,false,true,false,
,1,3,19,PageCodeSIN33C08,PageCodeSIN33C08,0,false,false,false,false,false,true,false,
,1,3,19,PageCodeSIN41A02,PageCodeSIN41A02,0,false,false,false,false,false,true,false,
,1,3,19,PageCodeSIN42A01,PageCodeSIN42A01,0,false,false,false,false,false,true,false,
,1,3,19,PageCodeSIN43A10,PageCodeSIN43A10,0,false,false,false,false,false,true,false,
,1,3,19,PageCodeSIN44A01,PageCodeSIN44A01,0,false,false,false,false,false,true,false,
,1,3,19,PageCodeSIN47A06,PageCodeSIN47A06,0,false,false,false,false,false,true,false,
,1,3,19,PageCodeSIN50A03,PageCodeSIN50A03,0,false,false,false,false,false,true,false,
,1,3,19,PageCodeSUN12A20,PageCodeSUN12A20,0,false,false,false,false,false,true,false,
,1,3,19,PageCodeSUN12C20,PageCodeSUN12C20,0,false,false,false,false,false,true,false,
,1,4,19,PageCodeFIN43A03,PageCodeFIN43A03,0,false,false,false,false,false,true,false,
,1,4,19,PageCodeFIN44A03,PageCodeFIN44A03,0,false,false,false,false,false,true,false,
,1,4,19,PageCodeINF23C04,PageCodeINF23C04,0,false,false,false,false,false,true,false,
,1,4,19,PageCodeINF39A05,PageCodeINF39A05,0,false,false,false,false,false,true,false,
,1,4,19,PageCodeINS05A03,PageCodeINS05A03,0,false,false,false,false,false,true,false,
,1,4,19,PageCodeINS50A02,PageCodeINS50A02,0,false,false,false,false,false,true,false,
,1,9,19,PageCodeSIN02A04,PageCodeSIN02A04,0,false,false,false,false,false,true,false,
,1,9,19,PageCodeSIN04A03,PageCodeSIN04A03,0,false,false,false,false,false,true,false,
,1,9,19,PageCodeSIN13A04,PageCodeSIN13A04,0,false,false,false,false,false,true,false,
,1,4,19,PageCodeINF25A11,PageCodeINF25A11,0,false,false,false,false,false,true,false,
,1,4,19,PageCodeINF28A14,PageCodeINF28A14,0,false,false,false,false,false,true,false,
,1,4,19,PageCodeINF32A04,PageCodeINF32A04,0,false,false,false,false,false,true,false,
,1,4,19,PageCodeFIN03A10,PageCodeFIN03A10,0,false,false,false,false,false,true,false,
,1,4,19,PageCodeFIN26C04,PageCodeFIN26C04,0,false,false,false,false,false,true,false,
,1,4,19,PageCodeFIN38A05,PageCodeFIN38A05,0,false,false,false,false,false,true,false,
,1,4,19,PageCodeINF35A18,PageCodeINF35A18,0,false,false,false,false,false,true,false,
,1,9,19,PageCodeFIN45A02,PageCodeFIN45A02,0,false,false,false,false,false,true,false,
,1,9,19,PageCodeINS17C05,PageCodeINS17C05,0,false,false,false,false,false,true,false,
,1,9,19,PageCodeSIN21A05,PageCodeSIN21A05,0,false,false,false,false,false,true,false,
,1,9,19,PageCodeSIN25A02,PageCodeSIN25A02,0,false,false,false,false,false,true,false,
,1,3,19,PageCodeINS07A05,PageCodeINS07A05,0,false,false,false,false,false,true,false,
,1,3,19,PageCodeINS09A11,PageCodeINS09A11,0,false,false,false,false,false,true,false,
,1,3,19,PageCodeINS20A05,PageCodeINS20A05,0,false,false,false,false,false,true,false,
,1,3,19,PageCodeINS41A04,PageCodeINS41A04,0,false,false,false,false,false,true,false,
,1,3,19,PageCodeSIN01A14,PageCodeSIN01A14,0,false,false,false,false,false,true,false,
,1,3,19,PageCodeSIN10A12,PageCodeSIN10A12,0,false,false,false,false,false,true,false,
,1,3,19,PageCodeSIN18A04,PageCodeSIN18A04,0,false,false,false,false,false,true,false,
,1,3,19,PageCodeSIN35A06,PageCodeSIN35A06,0,false,false,false,false,false,true,false,
,1,3,19,PageCodeSIN39C03,PageCodeSIN39C03,0,false,false,false,false,false,true,false,
,1,3,19,PageCodeSIN43A08,PageCodeSIN43A08,0,false,false,false,false,false,true,false,
,1,6,19,PageCodeINS36A01,PageCodeINS36A01,0,false,false,false,false,false,true,false,
,1,6,19,PageCodeSIN17A02,PageCodeSIN17A02,0,false,false,false,false,false,true,false,
,1,3,19,PageCodeDDM01A09,PageCodeDDM01A09,0,false,false,false,false,false,true,false,
,1,3,19,PageCodeFIN01A05,PageCodeFIN01A05,0,false,false,false,false,false,true,false,
,1,3,19,PageCodeFIN07A01,PageCodeFIN07A01,0,false,false,false,false,false,true,false,
,1,3,19,PageCodeFIN32A16,PageCodeFIN32A16,0,false,false,false,false,false,true,false,
