PartNumber,Usage,Name,Value,Sequence,Delete,GroupName
P000207279,2,SizeChart,http://www.beallsflorida.com/default?page=Mspants,0,0,
P000207797,2,SizeChart,http://www.beallsflorida.com/default?page=Jrssz,0,0,
P000207904,2,SizeChart,http://www.beallsflorida.com/default?page=Mspants,0,0,
P000208029,2,SizeChart,http://www.beallsflorida.com/default?page=Mspants,0,0,
P000208164,2,SizeChart,http://www.beallsflorida.com/default?page=Mspants,0,0,
P000208416,2,SizeChart,http://www.beallsflorida.com/default?page=Jrssz,0,0,
P000208500,2,SizeChart,http://www.beallsflorida.com/default?page=SizeChart,0,0,
P000208502,2,SizeChart,http://www.beallsflorida.com/default?page=SizeChart,0,0,
P000208504,2,SizeChart,http://www.beallsflorida.com/default?page=SizeChart,0,0,
P000208505,2,SizeChart,http://www.beallsflorida.com/default?page=SizeChart,0,0,
P000208645,2,SizeChart,http://www.beallsflorida.com/default?page=Jrssz,0,0,
P000209009,2,SizeChart,http://www.beallsflorida.com/default?page=SizeChart,0,0,
P000209011,2,SizeChart,http://www.beallsflorida.com/default?page=SizeChart,0,0,
P000209013,2,SizeChart,http://www.beallsflorida.com/default?page=SizeChart,0,0,
P000209014,2,SizeChart,http://www.beallsflorida.com/default?page=SizeChart,0,0,
P000209016,2,SizeChart,http://www.beallsflorida.com/default?page=SizeChart,0,0,
P000209017,2,SizeChart,http://www.beallsflorida.com/default?page=SizeChart,0,0,
P000209019,2,SizeChart,http://www.beallsflorida.com/default?page=SizeChart,0,0,
P000209025,2,SizeChart,http://www.beallsflorida.com/default?page=SizeChart,0,0,
P000209030,2,SizeChart,http://www.beallsflorida.com/default?page=SizeChart,0,0,
P000209035,2,SizeChart,http://www.beallsflorida.com/default?page=SizeChart,0,0,
P000209036,2,SizeChart,http://www.beallsflorida.com/default?page=SizeChart,0,0,
P000210448,2,SizeChart,http://www.beallsflorida.com/default?page=Mspants,0,0,
P000210513,2,SizeChart,http://www.beallsflorida.com/default?page=Jrssz,0,0,
P000210538,2,SizeChart,http://www.beallsflorida.com/default?page=SizeChart,0,0,
P000210540,2,SizeChart,http://www.beallsflorida.com/default?page=SizeChart,0,0,
P000210547,2,SizeChart,http://www.beallsflorida.com/default?page=SizeChart,0,0,
P000210548,2,SizeChart,http://www.beallsflorida.com/default?page=SizeChart,0,0,
P000210550,2,SizeChart,http://www.beallsflorida.com/default?page=SizeChart,0,0,
P000210563,2,SizeChart,http://www.beallsflorida.com/default?page=SizeChart,0,0,
P000210585,2,SizeChart,http://www.beallsflorida.com/default?page=Jrssz,0,0,
P000210586,2,SizeChart,http://www.beallsflorida.com/default?page=Jrssz,0,0,
P000210587,2,SizeChart,http://www.beallsflorida.com/default?page=SizeChart,0,0,
P000210588,2,SizeChart,http://www.beallsflorida.com/default?page=SizeChart,0,0,
P000210800,2,SizeChart,http://www.beallsflorida.com/default?page=Mspants,0,0,
P000210807,2,SizeChart,http://www.beallsflorida.com/default?page=Mspants,0,0,
P000210809,2,SizeChart,http://www.beallsflorida.com/default?page=Mspants,0,0,
P000210810,2,SizeChart,http://www.beallsflorida.com/default?page=Mspants,0,0,
