CatentryPartNumber,Price,CurrencyCode,StartDate,EndDate,Precedence,MinimumQuantity
0095842309,26.99,USD,2012-07-08 00:01:00.000,2012-07-14 23:59:00.000,999,1
0095842324,26.99,USD,2012-07-08 00:01:00.000,2012-07-14 23:59:00.000,999,1
0095842351,26.99,USD,2012-07-08 00:01:00.000,2012-07-14 23:59:00.000,999,1
0095859400,34.8,USD,2012-07-08 00:01:00.000,2012-07-14 23:59:00.000,999,1
0095859437,34.8,USD,2012-07-08 00:01:00.000,2012-07-14 23:59:00.000,999,1
0095859440,34.8,USD,2012-07-08 00:01:00.000,2012-07-14 23:59:00.000,999,1
0095859489,34.8,USD,2012-07-08 00:01:00.000,2012-07-14 23:59:00.000,999,1
0095859522,34.8,USD,2012-07-08 00:01:00.000,2012-07-14 23:59:00.000,999,1
0095870495,22.8,USD,2012-07-08 00:01:00.000,2012-07-14 23:59:00.000,999,1
0095870526,22.8,USD,2012-07-08 00:01:00.000,2012-07-14 23:59:00.000,999,1
0095877707,26.99,USD,2012-07-08 00:01:00.000,2012-07-14 23:59:00.000,999,1
0095895252,10,USD,2012-07-08 00:01:00.000,2012-07-14 23:59:00.000,999,1
0095929222,16.99,USD,2012-07-08 00:01:00.000,2012-07-14 23:59:00.000,999,1
0095929234,16.99,USD,2012-07-08 00:01:00.000,2012-07-14 23:59:00.000,999,1
0095929259,16.99,USD,2012-07-08 00:01:00.000,2012-07-14 23:59:00.000,999,1
0095930126,26.4,USD,2012-07-08 00:01:00.000,2012-07-14 23:59:00.000,999,1
0095930138,26.4,USD,2012-07-08 00:01:00.000,2012-07-14 23:59:00.000,999,1
0095930141,26.4,USD,2012-07-08 00:01:00.000,2012-07-14 23:59:00.000,999,1
0095930875,28,USD,2012-07-08 00:01:00.000,2012-07-14 23:59:00.000,999,1
0095930887,28,USD,2012-07-08 00:01:00.000,2012-07-14 23:59:00.000,999,1
0095930899,28,USD,2012-07-08 00:01:00.000,2012-07-14 23:59:00.000,999,1
0095930918,28,USD,2012-07-08 00:01:00.000,2012-07-14 23:59:00.000,999,1
0095930932,28,USD,2012-07-08 00:01:00.000,2012-07-14 23:59:00.000,999,1
0095930957,28,USD,2012-07-08 00:01:00.000,2012-07-14 23:59:00.000,999,1
0095930969,28,USD,2012-07-08 00:01:00.000,2012-07-14 23:59:00.000,999,1
0095930984,28,USD,2012-07-08 00:01:00.000,2012-07-14 23:59:00.000,999,1
0095931016,28,USD,2012-07-08 00:01:00.000,2012-07-14 23:59:00.000,999,1
0095931030,28,USD,2012-07-08 00:01:00.000,2012-07-14 23:59:00.000,999,1
0095931055,28,USD,2012-07-08 00:01:00.000,2012-07-14 23:59:00.000,999,1
0095931070,28,USD,2012-07-08 00:01:00.000,2012-07-14 23:59:00.000,999,1
0095931477,31.5,USD,2012-07-08 00:01:00.000,2012-07-14 23:59:00.000,999,1
0095933584,21.99,USD,2012-07-08 00:01:00.000,2012-07-14 23:59:00.000,999,1
0095933602,21.99,USD,2012-07-08 00:01:00.000,2012-07-14 23:59:00.000,999,1
0095933627,21.99,USD,2012-07-08 00:01:00.000,2012-07-14 23:59:00.000,999,1
0095933723,21.99,USD,2012-07-08 00:01:00.000,2012-07-14 23:59:00.000,999,1
0095933748,21.99,USD,2012-07-08 00:01:00.000,2012-07-14 23:59:00.000,999,1
0095933775,21.99,USD,2012-07-08 00:01:00.000,2012-07-14 23:59:00.000,999,1
0095933787,21.99,USD,2012-07-08 00:01:00.000,2012-07-14 23:59:00.000,999,1
0095933805,21.99,USD,2012-07-08 00:01:00.000,2012-07-14 23:59:00.000,999,1
0095933818,21.99,USD,2012-07-08 00:01:00.000,2012-07-14 23:59:00.000,999,1
0095933872,21.99,USD,2012-07-08 00:01:00.000,2012-07-14 23:59:00.000,999,1
0095933884,21.99,USD,2012-07-08 00:01:00.000,2012-07-14 23:59:00.000,999,1
0095936196,30.8,USD,2012-07-08 00:01:00.000,2012-07-14 23:59:00.000,999,1
0095936215,30.8,USD,2012-07-08 00:01:00.000,2012-07-14 23:59:00.000,999,1
0095936227,30.8,USD,2012-07-08 00:01:00.000,2012-07-14 23:59:00.000,999,1
0095936254,30.8,USD,2012-07-08 00:01:00.000,2012-07-14 23:59:00.000,999,1
0095954549,29.4,USD,2012-07-08 00:01:00.000,2012-07-14 23:59:00.000,999,1
0095954551,29.4,USD,2012-07-08 00:01:00.000,2012-07-14 23:59:00.000,999,1
0095954702,29.4,USD,2012-07-08 00:01:00.000,2012-07-14 23:59:00.000,999,1
0095954715,29.4,USD,2012-07-08 00:01:00.000,2012-07-14 23:59:00.000,999,1
0095989171,24.99,USD,2012-07-08 00:01:00.000,2012-07-14 23:59:00.000,999,1
0095989183,24.99,USD,2012-07-08 00:01:00.000,2012-07-14 23:59:00.000,999,1
0095989195,24.99,USD,2012-07-08 00:01:00.000,2012-07-14 23:59:00.000,999,1
0095989201,24.99,USD,2012-07-08 00:01:00.000,2012-07-14 23:59:00.000,999,1
0095989241,24.99,USD,2012-07-08 00:01:00.000,2012-07-14 23:59:00.000,999,1
0095989253,24.99,USD,2012-07-08 00:01:00.000,2012-07-14 23:59:00.000,999,1
0095989292,24.99,USD,2012-07-08 00:01:00.000,2012-07-14 23:59:00.000,999,1
0095989308,24.99,USD,2012-07-08 00:01:00.000,2012-07-14 23:59:00.000,999,1
0095989348,24.99,USD,2012-07-08 00:01:00.000,2012-07-14 23:59:00.000,999,1
0095989350,24.99,USD,2012-07-08 00:01:00.000,2012-07-14 23:59:00.000,999,1
0095989362,24.99,USD,2012-07-08 00:01:00.000,2012-07-14 23:59:00.000,999,1
0095989387,24.99,USD,2012-07-08 00:01:00.000,2012-07-14 23:59:00.000,999,1
0095994765,30.8,USD,2012-07-08 00:01:00.000,2012-07-14 23:59:00.000,999,1
0095994778,30.8,USD,2012-07-08 00:01:00.000,2012-07-14 23:59:00.000,999,1
0095994850,30.8,USD,2012-07-08 00:01:00.000,2012-07-14 23:59:00.000,999,1
0095996316,28,USD,2012-07-08 00:01:00.000,2012-07-14 23:59:00.000,999,1
0095996328,28,USD,2012-07-08 00:01:00.000,2012-07-14 23:59:00.000,999,1
0095996451,29.4,USD,2012-07-08 00:01:00.000,2012-07-14 23:59:00.000,999,1
0095996463,29.4,USD,2012-07-08 00:01:00.000,2012-07-14 23:59:00.000,999,1
0095999267,29.4,USD,2012-07-08 00:01:00.000,2012-07-14 23:59:00.000,999,1
0095999270,29.4,USD,2012-07-08 00:01:00.000,2012-07-14 23:59:00.000,999,1
0096017065,21.6,USD,2012-07-08 00:01:00.000,2012-07-14 23:59:00.000,999,1
0096017065,14.99,USD,2012-07-05 00:01:00.000,2012-07-18 23:59:00.000,999,1
0096017078,21.6,USD,2012-07-08 00:01:00.000,2012-07-14 23:59:00.000,999,1
0096017078,14.99,USD,2012-07-05 00:01:00.000,2012-07-18 23:59:00.000,999,1
0096017080,21.6,USD,2012-07-08 00:01:00.000,2012-07-14 23:59:00.000,999,1
0096017080,14.99,USD,2012-07-05 00:01:00.000,2012-07-18 23:59:00.000,999,1
0096017187,21.6,USD,2012-07-08 00:01:00.000,2012-07-14 23:59:00.000,999,1
0096017187,14.99,USD,2012-07-05 00:01:00.000,2012-07-18 23:59:00.000,999,1
0096017218,21.6,USD,2012-07-08 00:01:00.000,2012-07-14 23:59:00.000,999,1
0096017218,14.99,USD,2012-07-05 00:01:00.000,2012-07-18 23:59:00.000,999,1
0096017220,21.6,USD,2012-07-08 00:01:00.000,2012-07-14 23:59:00.000,999,1
0096017220,14.99,USD,2012-07-05 00:01:00.000,2012-07-18 23:59:00.000,999,1
0096017302,21.6,USD,2012-07-08 00:01:00.000,2012-07-14 23:59:00.000,999,1
0096017302,14.99,USD,2012-07-05 00:01:00.000,2012-07-18 23:59:00.000,999,1
0096017366,21.6,USD,2012-07-08 00:01:00.000,2012-07-14 23:59:00.000,999,1
0096017366,14.99,USD,2012-07-05 00:01:00.000,2012-07-18 23:59:00.000,999,1
0096017408,21.6,USD,2012-07-08 00:01:00.000,2012-07-14 23:59:00.000,999,1
0096017408,14.99,USD,2012-07-05 00:01:00.000,2012-07-18 23:59:00.000,999,1
0096027700,37.8,USD,2012-07-08 00:01:00.000,2012-07-14 23:59:00.000,999,1
0096027898,37.8,USD,2012-07-08 00:01:00.000,2012-07-14 23:59:00.000,999,1
0096027917,37.8,USD,2012-07-08 00:01:00.000,2012-07-14 23:59:00.000,999,1
0096027929,37.8,USD,2012-07-08 00:01:00.000,2012-07-14 23:59:00.000,999,1
0096028343,37.8,USD,2012-07-08 00:01:00.000,2012-07-14 23:59:00.000,999,1
0096028355,37.8,USD,2012-07-08 00:01:00.000,2012-07-14 23:59:00.000,999,1
0096028463,37.8,USD,2012-07-08 00:01:00.000,2012-07-14 23:59:00.000,999,1
0096028476,37.8,USD,2012-07-08 00:01:00.000,2012-07-14 23:59:00.000,999,1
0096028670,37.8,USD,2012-07-08 00:01:00.000,2012-07-14 23:59:00.000,999,1
0096028682,37.8,USD,2012-07-08 00:01:00.000,2012-07-14 23:59:00.000,999,1
0096028694,37.8,USD,2012-07-08 00:01:00.000,2012-07-14 23:59:00.000,999,1
0096030039,24,USD,2012-07-08 00:01:00.000,2012-07-14 23:59:00.000,999,1
0096030042,24,USD,2012-07-08 00:01:00.000,2012-07-14 23:59:00.000,999,1
0096030054,24,USD,2012-07-08 00:01:00.000,2012-07-14 23:59:00.000,999,1
0096030066,24,USD,2012-07-08 00:01:00.000,2012-07-14 23:59:00.000,999,1
0096030079,24,USD,2012-07-08 00:01:00.000,2012-07-14 23:59:00.000,999,1
0096030109,24,USD,2012-07-08 00:01:00.000,2012-07-14 23:59:00.000,999,1
0096030112,24,USD,2012-07-08 00:01:00.000,2012-07-14 23:59:00.000,999,1
0096030124,24,USD,2012-07-08 00:01:00.000,2012-07-14 23:59:00.000,999,1
0096030136,24,USD,2012-07-08 00:01:00.000,2012-07-14 23:59:00.000,999,1
0096030149,24,USD,2012-07-08 00:01:00.000,2012-07-14 23:59:00.000,999,1
0096031111,24,USD,2012-07-08 00:01:00.000,2012-07-14 23:59:00.000,999,1
0096031135,24,USD,2012-07-08 00:01:00.000,2012-07-14 23:59:00.000,999,1
0096031148,24,USD,2012-07-08 00:01:00.000,2012-07-14 23:59:00.000,999,1
0096031162,24,USD,2012-07-08 00:01:00.000,2012-07-14 23:59:00.000,999,1
0096031175,24,USD,2012-07-08 00:01:00.000,2012-07-14 23:59:00.000,999,1
0096031205,24,USD,2012-07-08 00:01:00.000,2012-07-14 23:59:00.000,999,1
0096031218,24,USD,2012-07-08 00:01:00.000,2012-07-14 23:59:00.000,999,1
0096033313,21.99,USD,2012-07-08 00:01:00.000,2012-07-14 23:59:00.000,999,1
0096033325,21.99,USD,2012-07-08 00:01:00.000,2012-07-14 23:59:00.000,999,1
0096033337,21.99,USD,2012-07-08 00:01:00.000,2012-07-14 23:59:00.000,999,1
0096037646,29.75,USD,2012-07-08 00:01:00.000,2012-07-14 23:59:00.000,999,1
0096037658,29.75,USD,2012-07-08 00:01:00.000,2012-07-14 23:59:00.000,999,1
0096037660,29.75,USD,2012-07-08 00:01:00.000,2012-07-14 23:59:00.000,999,1
0096037742,29.75,USD,2012-07-08 00:01:00.000,2012-07-14 23:59:00.000,999,1
0096049225,21.6,USD,2012-07-08 00:01:00.000,2012-07-14 23:59:00.000,999,1
0096049225,14.99,USD,2012-07-05 00:01:00.000,2012-07-18 23:59:00.000,999,1
0096049240,21.6,USD,2012-07-08 00:01:00.000,2012-07-14 23:59:00.000,999,1
0096049240,14.99,USD,2012-07-05 00:01:00.000,2012-07-18 23:59:00.000,999,1
0096049252,21.6,USD,2012-07-08 00:01:00.000,2012-07-14 23:59:00.000,999,1
0096049252,14.99,USD,2012-07-05 00:01:00.000,2012-07-18 23:59:00.000,999,1
0096049264,21.6,USD,2012-07-08 00:01:00.000,2012-07-14 23:59:00.000,999,1
0096049264,14.99,USD,2012-07-05 00:01:00.000,2012-07-18 23:59:00.000,999,1
0096049277,21.6,USD,2012-07-08 00:01:00.000,2012-07-14 23:59:00.000,999,1
0096049277,14.99,USD,2012-07-05 00:01:00.000,2012-07-18 23:59:00.000,999,1
0096049307,21.6,USD,2012-07-08 00:01:00.000,2012-07-14 23:59:00.000,999,1
0096049307,14.99,USD,2012-07-05 00:01:00.000,2012-07-18 23:59:00.000,999,1
0096049334,21.6,USD,2012-07-08 00:01:00.000,2012-07-14 23:59:00.000,999,1
0096049334,14.99,USD,2012-07-05 00:01:00.000,2012-07-18 23:59:00.000,999,1
0096062129,26.4,USD,2012-07-08 00:01:00.000,2012-07-14 23:59:00.000,999,1
0096062144,26.4,USD,2012-07-08 00:01:00.000,2012-07-14 23:59:00.000,999,1
0096062156,26.4,USD,2012-07-08 00:01:00.000,2012-07-14 23:59:00.000,999,1
0096062171,26.4,USD,2012-07-08 00:01:00.000,2012-07-14 23:59:00.000,999,1
0096062183,26.4,USD,2012-07-08 00:01:00.000,2012-07-14 23:59:00.000,999,1
0096062201,26.4,USD,2012-07-08 00:01:00.000,2012-07-14 23:59:00.000,999,1
0096062214,26.4,USD,2012-07-08 00:01:00.000,2012-07-14 23:59:00.000,999,1
0096062238,26.4,USD,2012-07-08 00:01:00.000,2012-07-14 23:59:00.000,999,1
0096062241,26.4,USD,2012-07-08 00:01:00.000,2012-07-14 23:59:00.000,999,1
0096062253,26.4,USD,2012-07-08 00:01:00.000,2012-07-14 23:59:00.000,999,1
0096062265,26.4,USD,2012-07-08 00:01:00.000,2012-07-14 23:59:00.000,999,1
0096062278,26.4,USD,2012-07-08 00:01:00.000,2012-07-14 23:59:00.000,999,1
0096062292,26.4,USD,2012-07-08 00:01:00.000,2012-07-14 23:59:00.000,999,1
0096062308,26.4,USD,2012-07-08 00:01:00.000,2012-07-14 23:59:00.000,999,1
0096062348,26.4,USD,2012-07-08 00:01:00.000,2012-07-14 23:59:00.000,999,1
0096062538,22.8,USD,2012-07-08 00:01:00.000,2012-07-14 23:59:00.000,999,1
0096062541,22.8,USD,2012-07-08 00:01:00.000,2012-07-14 23:59:00.000,999,1
0096062553,22.8,USD,2012-07-08 00:01:00.000,2012-07-14 23:59:00.000,999,1
0096062565,22.8,USD,2012-07-08 00:01:00.000,2012-07-14 23:59:00.000,999,1
0096062578,22.8,USD,2012-07-08 00:01:00.000,2012-07-14 23:59:00.000,999,1
0096062592,22.8,USD,2012-07-08 00:01:00.000,2012-07-14 23:59:00.000,999,1
0096062611,22.8,USD,2012-07-08 00:01:00.000,2012-07-14 23:59:00.000,999,1
0096062623,22.8,USD,2012-07-08 00:01:00.000,2012-07-14 23:59:00.000,999,1
0096062635,22.8,USD,2012-07-08 00:01:00.000,2012-07-14 23:59:00.000,999,1
0096062648,22.8,USD,2012-07-08 00:01:00.000,2012-07-14 23:59:00.000,999,1
0096062650,22.8,USD,2012-07-08 00:01:00.000,2012-07-14 23:59:00.000,999,1
0096062662,22.8,USD,2012-07-08 00:01:00.000,2012-07-14 23:59:00.000,999,1
0096062687,22.8,USD,2012-07-08 00:01:00.000,2012-07-14 23:59:00.000,999,1
0096062704,22.8,USD,2012-07-08 00:01:00.000,2012-07-14 23:59:00.000,999,1
0096065153,30.8,USD,2012-07-08 00:01:00.000,2012-07-14 23:59:00.000,999,1
0096065180,30.8,USD,2012-07-08 00:01:00.000,2012-07-14 23:59:00.000,999,1
0096065192,30.8,USD,2012-07-08 00:01:00.000,2012-07-14 23:59:00.000,999,1
0096065208,30.8,USD,2012-07-08 00:01:00.000,2012-07-14 23:59:00.000,999,1
0096068315,21.99,USD,2012-07-08 00:01:00.000,2012-07-14 23:59:00.000,999,1
0096068327,21.99,USD,2012-07-08 00:01:00.000,2012-07-14 23:59:00.000,999,1
0096068339,21.99,USD,2012-07-08 00:01:00.000,2012-07-14 23:59:00.000,999,1
0096068366,21.99,USD,2012-07-08 00:01:00.000,2012-07-14 23:59:00.000,999,1
0096068379,21.99,USD,2012-07-08 00:01:00.000,2012-07-14 23:59:00.000,999,1
0096068393,21.99,USD,2012-07-08 00:01:00.000,2012-07-14 23:59:00.000,999,1
0096068411,21.99,USD,2012-07-08 00:01:00.000,2012-07-14 23:59:00.000,999,1
0096068423,21.99,USD,2012-07-08 00:01:00.000,2012-07-14 23:59:00.000,999,1
0096068435,21.99,USD,2012-07-08 00:01:00.000,2012-07-14 23:59:00.000,999,1
0096068448,21.99,USD,2012-07-08 00:01:00.000,2012-07-14 23:59:00.000,999,1
0096068450,21.99,USD,2012-07-08 00:01:00.000,2012-07-14 23:59:00.000,999,1
0096068462,21.99,USD,2012-07-08 00:01:00.000,2012-07-14 23:59:00.000,999,1
0096068499,21.99,USD,2012-07-08 00:01:00.000,2012-07-14 23:59:00.000,999,1
0096068505,21.99,USD,2012-07-08 00:01:00.000,2012-07-14 23:59:00.000,999,1
0096068520,21.99,USD,2012-07-08 00:01:00.000,2012-07-14 23:59:00.000,999,1
0096068884,44.99,USD,2012-07-08 00:01:00.000,2012-07-14 23:59:00.000,999,1
0096068896,44.99,USD,2012-07-08 00:01:00.000,2012-07-14 23:59:00.000,999,1
0096068915,44.99,USD,2012-07-08 00:01:00.000,2012-07-14 23:59:00.000,999,1
0096068942,44.99,USD,2012-07-08 00:01:00.000,2012-07-14 23:59:00.000,999,1
0096068954,44.99,USD,2012-07-08 00:01:00.000,2012-07-14 23:59:00.000,999,1
0096068979,44.99,USD,2012-07-08 00:01:00.000,2012-07-14 23:59:00.000,999,1
0096068981,44.99,USD,2012-07-08 00:01:00.000,2012-07-14 23:59:00.000,999,1
0096068993,44.99,USD,2012-07-08 00:01:00.000,2012-07-14 23:59:00.000,999,1
0096069000,44.99,USD,2012-07-08 00:01:00.000,2012-07-14 23:59:00.000,999,1
0096069013,44.99,USD,2012-07-08 00:01:00.000,2012-07-14 23:59:00.000,999,1
0096069052,44.99,USD,2012-07-08 00:01:00.000,2012-07-14 23:59:00.000,999,1
0096069064,44.99,USD,2012-07-08 00:01:00.000,2012-07-14 23:59:00.000,999,1
0096069077,44.99,USD,2012-07-08 00:01:00.000,2012-07-14 23:59:00.000,999,1
0096078320,16.99,USD,2012-07-08 00:01:00.000,2012-07-14 23:59:00.000,999,1
0096078332,16.99,USD,2012-07-08 00:01:00.000,2012-07-14 23:59:00.000,999,1
0096078357,16.99,USD,2012-07-08 00:01:00.000,2012-07-14 23:59:00.000,999,1
0096079834,21.99,USD,2012-07-08 00:01:00.000,2012-07-14 23:59:00.000,999,1
0096079847,21.99,USD,2012-07-08 00:01:00.000,2012-07-14 23:59:00.000,999,1
0096079859,21.99,USD,2012-07-08 00:01:00.000,2012-07-14 23:59:00.000,999,1
0096079861,21.99,USD,2012-07-08 00:01:00.000,2012-07-14 23:59:00.000,999,1
0096079917,21.99,USD,2012-07-08 00:01:00.000,2012-07-14 23:59:00.000,999,1
0096079929,21.99,USD,2012-07-08 00:01:00.000,2012-07-14 23:59:00.000,999,1
0096079931,21.99,USD,2012-07-08 00:01:00.000,2012-07-14 23:59:00.000,999,1
0096116613,24.99,USD,2012-07-08 00:01:00.000,2012-07-14 23:59:00.000,999,1
0096116640,24.99,USD,2012-07-08 00:01:00.000,2012-07-14 23:59:00.000,999,1
0096116652,24.99,USD,2012-07-08 00:01:00.000,2012-07-14 23:59:00.000,999,1
0096116664,24.99,USD,2012-07-08 00:01:00.000,2012-07-14 23:59:00.000,999,1
0096116691,24.99,USD,2012-07-08 00:01:00.000,2012-07-14 23:59:00.000,999,1
0096116746,24.99,USD,2012-07-08 00:01:00.000,2012-07-14 23:59:00.000,999,1
0096116758,24.99,USD,2012-07-08 00:01:00.000,2012-07-14 23:59:00.000,999,1
0096116816,24.99,USD,2012-07-08 00:01:00.000,2012-07-14 23:59:00.000,999,1
0096116828,24.99,USD,2012-07-08 00:01:00.000,2012-07-14 23:59:00.000,999,1
0096116830,24.99,USD,2012-07-08 00:01:00.000,2012-07-14 23:59:00.000,999,1
0096143894,26.99,USD,2012-07-08 00:01:00.000,2012-07-14 23:59:00.000,999,1
0096143925,26.99,USD,2012-07-08 00:01:00.000,2012-07-14 23:59:00.000,999,1
0096143937,26.99,USD,2012-07-08 00:01:00.000,2012-07-14 23:59:00.000,999,1
0096143940,26.99,USD,2012-07-08 00:01:00.000,2012-07-14 23:59:00.000,999,1
0096143952,26.99,USD,2012-07-08 00:01:00.000,2012-07-14 23:59:00.000,999,1
0096144099,26.99,USD,2012-07-08 00:01:00.000,2012-07-14 23:59:00.000,999,1
0096144105,26.99,USD,2012-07-08 00:01:00.000,2012-07-14 23:59:00.000,999,1
0096144118,26.99,USD,2012-07-08 00:01:00.000,2012-07-14 23:59:00.000,999,1
0096144309,26.99,USD,2012-07-08 00:01:00.000,2012-07-14 23:59:00.000,999,1
0096144324,26.99,USD,2012-07-08 00:01:00.000,2012-07-14 23:59:00.000,999,1
0096144336,26.99,USD,2012-07-08 00:01:00.000,2012-07-14 23:59:00.000,999,1
0096144349,26.99,USD,2012-07-08 00:01:00.000,2012-07-14 23:59:00.000,999,1
0096166122,27.6,USD,2012-07-08 00:01:00.000,2012-07-14 23:59:00.000,999,1
0096166134,27.6,USD,2012-07-08 00:01:00.000,2012-07-14 23:59:00.000,999,1
0096166198,27.6,USD,2012-07-08 00:01:00.000,2012-07-14 23:59:00.000,999,1
