GroupIdentifier,ParentGroupIdentifier,TopGroup,Sequence,Name,ShortDescription,LongDescription,Thumbnail,FullImage,Field1,Published,Delete
158-600-607,158-600-0,false,0,"Tees & Tanks","Boys 4-7X Tees & Tanks",,,,,1,0
158-600-609,158-600-0,false,0,"4-7X Sleepwear","Boys 4-7X Sleepwear",,,,,1,0
158-600-611,158-600-0,false,0,"Button-Up Shirts","Boys 4-7X Button Up Shirts",,,,,1,0
158-201-612,158-201-0,false,0,"Dolls","Childrens Dolls",,,,,1,0
233-613-0,233-0-0,false,40,"Tervis Drinkware","Tervis",,,,,1,0
233-613-614,233-613-0,false,0,"24 oz. Tumblers","24 oz. Tumblers",,,,,1,0
233-613-615,233-613-0,false,0,"16 oz. Mugs","16 oz. Mugs",,,,,1,0
233-613-616,233-613-0,false,0,"Lids & Straws","Lids & Straws",,,,,1,0
233-613-617,233-613-0,false,0,"16 oz. Tumbler Sets","16 oz. Tumbler Sets",,,,,1,0
233-613-618,233-613-0,false,0,"16 oz. Travel Tumblers","16 oz. Travel Tumblers",,,,,1,0
158-591-619,158-591-0,false,0,"Sweaters","4-6X Sweaters",,,,,1,0
158-600-624,158-600-0,false,0,"Boys Hats & Belts","Boys Hats & Belts",,,,,1,0
158-591-625,158-591-0,false,0,"Purses & Handbags","Purses & Handbags",,,,,1,0
158-201-626,158-201-0,false,0,"Action Toys & Figures","Action Toys & Figures",,,,,1,0
158-201-627,158-201-0,false,0,"R/C Vehicles","R/C Vehicles",,,,,1,0
158-201-629,158-201-0,false,0,"Preschool Toys","Preschool Toys",,,,,1,0
158-201-630,158-201-0,false,0,"Pretend & Dress Up","Pretend & Dress Up",,,,,1,0
158-201-631,158-201-0,false,0,"Beach & Outdoor Toys","Beach & Outdoor Toys",,,,,1,0
158-201-632,158-201-0,false,0,"Childrens Slippers","Childrens Slippers",,,,,1,0
52-89-634,52-89-0,false,0,"Plus Size 3/4 Sleeve Tops","Plus Size 3/4 Sleeve Tops",,,,,1,0
52-89-635,52-89-0,false,0,"Plus Size Long Sleeve Tops","Plus Size Long Sleeve Tops",,,,,1,0
52-71-636,52-71-0,false,110,"Petite Long Sleeve Tops","Petite Long Sleeve Tops",,,,,1,0
158-591-697,158-591-0,false,0,"Jewelry & Hair Accessories","Jewerly & Hair Accessories",,,,,1,0
233-444-704,233-444-0,false,0,"Spices & Shakers","Spices & Shakers",,,,,1,0
233-705-0,233-0-0,false,50,"Bed & Bath","Bed & Bath",,,,,1,0
233-705-707,233-705-0,false,0,"Bedding Sets","Bedding Sets",,,,,1,0
233-705-708,233-705-0,false,0,"Blankets & Throws","Blankets & Throws",,,,,1,0
233-705-709,233-705-0,false,0,"Bath Collections","Bath Collections",,,,,1,0
