Id,FieldTypeId,CategoryId,FieldGroupId,Name,Description,Position,IsFilter,IsRequired,IsOnProductDetails,IsStockKeepingUnit,IsWizard,IsActive,IsTopMenuLinkActive,DefaultValue
,1,9,27,PageCodeSIN02A04,PageCodeSIN02A04,0,false,false,false,false,false,true,false,
,1,9,27,PageCodeSIN04A03,PageCodeSIN04A03,0,false,false,false,false,false,true,false,
,1,9,27,PageCodeSIN13A04,PageCodeSIN13A04,0,false,false,false,false,false,true,false,
,1,4,27,PageCodeINF25A11,PageCodeINF25A11,0,false,false,false,false,false,true,false,
,1,4,27,PageCodeINF28A14,PageCodeINF28A14,0,false,false,false,false,false,true,false,
,1,4,27,PageCodeINF32A04,PageCodeINF32A04,0,false,false,false,false,false,true,false,
,1,4,27,PageCodeFIN03A10,PageCodeFIN03A10,0,false,false,false,false,false,true,false,
,1,4,27,PageCodeFIN26C04,PageCodeFIN26C04,0,false,false,false,false,false,true,false,
,1,4,27,PageCodeFIN38A05,PageCodeFIN38A05,0,false,false,false,false,false,true,false,
,1,4,27,PageCodeINF35A18,PageCodeINF35A18,0,false,false,false,false,false,true,false,
,1,9,27,PageCodeFIN45A02,PageCodeFIN45A02,0,false,false,false,false,false,true,false,
,1,9,27,PageCodeINS17C05,PageCodeINS17C05,0,false,false,false,false,false,true,false,
,1,9,27,PageCodeSIN21A05,PageCodeSIN21A05,0,false,false,false,false,false,true,false,
,1,9,27,PageCodeSIN25A02,PageCodeSIN25A02,0,false,false,false,false,false,true,false,
,1,3,27,PageCodeINS07A05,PageCodeINS07A05,0,false,false,false,false,false,true,false,
,1,3,27,PageCodeINS09A11,PageCodeINS09A11,0,false,false,false,false,false,true,false,
,1,3,27,PageCodeINS20A05,PageCodeINS20A05,0,false,false,false,false,false,true,false,
,1,3,27,PageCodeINS41A04,PageCodeINS41A04,0,false,false,false,false,false,true,false,
,1,3,27,PageCodeSIN01A14,PageCodeSIN01A14,0,false,false,false,false,false,true,false,
,1,3,27,PageCodeSIN10A12,PageCodeSIN10A12,0,false,false,false,false,false,true,false,
,1,3,27,PageCodeSIN18A04,PageCodeSIN18A04,0,false,false,false,false,false,true,false,
,1,3,27,PageCodeSIN35A06,PageCodeSIN35A06,0,false,false,false,false,false,true,false,
,1,3,27,PageCodeSIN39C03,PageCodeSIN39C03,0,false,false,false,false,false,true,false,
,1,3,27,PageCodeSIN43A08,PageCodeSIN43A08,0,false,false,false,false,false,true,false,
,1,6,27,PageCodeINS36A01,PageCodeINS36A01,0,false,false,false,false,false,true,false,
,1,6,27,PageCodeSIN17A02,PageCodeSIN17A02,0,false,false,false,false,false,true,false,
,1,3,27,PageCodeDDM01A09,PageCodeDDM01A09,0,false,false,false,false,false,true,false,
,1,3,27,PageCodeFIN01A05,PageCodeFIN01A05,0,false,false,false,false,false,true,false,
,1,3,27,PageCodeFIN07A01,PageCodeFIN07A01,0,false,false,false,false,false,true,false,
,1,3,27,PageCodeFIN32A16,PageCodeFIN32A16,0,false,false,false,false,false,true,false,
,1,3,27,PageCodeFIN35A05,PageCodeFIN35A05,0,false,false,false,false,false,true,false,
,1,3,27,PageCodeFIN39A19,PageCodeFIN39A19,0,false,false,false,false,false,true,false,
,1,3,27,PageCodeFIN46A02,PageCodeFIN46A02,0,false,false,false,false,false,true,false,
,1,3,27,PageCodeFIN50A02,PageCodeFIN50A02,0,false,false,false,false,false,true,false,
,1,3,27,PageCodeFIN53A19,PageCodeFIN53A19,0,false,false,false,false,false,true,false,
,1,3,27,PageCodeINF28A10,PageCodeINF28A10,0,false,false,false,false,false,true,false,
,1,3,27,PageCodeINF31A04,PageCodeINF31A04,0,false,false,false,false,false,true,false,
,1,3,27,PageCodeINF37A03,PageCodeINF37A03,0,false,false,false,false,false,true,false,
,1,3,27,PageCodeINF39A04,PageCodeINF39A04,0,false,false,false,false,false,true,false,
,1,3,27,PageCodeINF45A13,PageCodeINF45A13,0,false,false,false,false,false,true,false,
,1,3,27,PageCodeINF48A04,PageCodeINF48A04,0,false,false,false,false,false,true,false,
,1,3,27,PageCodeINS05A03,PageCodeINS05A03,0,false,false,false,false,false,true,false,
,1,3,27,PageCodeINS10A04,PageCodeINS10A04,0,false,false,false,false,false,true,false,
,1,3,27,PageCodeINS13A03,PageCodeINS13A03,0,false,false,false,false,false,true,false,
,1,3,27,PageCodeINS15A03,PageCodeINS15A03,0,false,false,false,false,false,true,false,
,1,3,27,PageCodeINS17A05,PageCodeINS17A05,0,false,false,false,false,false,true,false,
,1,3,27,PageCodeINS21A16,PageCodeINS21A16,0,false,false,false,false,false,true,false,
,1,3,27,PageCodeINS24A04,PageCodeINS24A04,0,false,false,false,false,false,true,false,
,1,3,27,PageCodeINS27A14,PageCodeINS27A14,0,false,false,false,false,false,true,false,
,1,3,27,PageCodeINS32A10,PageCodeINS32A10,0,false,false,false,false,false,true,false,
,1,3,27,PageCodeINS36A04,PageCodeINS36A04,0,false,false,false,false,false,true,false,
,1,3,27,PageCodeINS37A03,PageCodeINS37A03,0,false,false,false,false,false,true,false,
,1,3,27,PageCodeINS42A01,PageCodeINS42A01,0,false,false,false,false,false,true,false,
,1,3,27,PageCodeNIT47A05,PageCodeNIT47A05,0,false,false,false,false,false,true,false,
,1,3,27,PageCodeSIN04A08,PageCodeSIN04A08,0,false,false,false,false,false,true,false,
,1,3,27,PageCodeSIN05A03,PageCodeSIN05A03,0,false,false,false,false,false,true,false,
,1,3,27,PageCodeSIN06A04,PageCodeSIN06A04,0,false,false,false,false,false,true,false,
,1,3,27,PageCodeSIN12A05,PageCodeSIN12A05,0,false,false,false,false,false,true,false,
,1,3,27,PageCodeSIN23A06,PageCodeSIN23A06,0,false,false,false,false,false,true,false,
,1,3,27,PageCodeSIN26A01,PageCodeSIN26A01,0,false,false,false,false,false,true,false,
,1,3,27,PageCodeSIN30A04,PageCodeSIN30A04,0,false,false,false,false,false,true,false,
,1,3,27,PageCodeSIN39A03,PageCodeSIN39A03,0,false,false,false,false,false,true,false,
,1,3,27,PageCodeSIN45A01,PageCodeSIN45A01,0,false,false,false,false,false,true,false,
,1,3,27,PageCodeSIN47A07,PageCodeSIN47A07,0,false,false,false,false,false,true,false,
,1,3,27,PageCodeSUN47A01,PageCodeSUN47A01,0,false,false,false,false,false,true,false,
,1,9,27,PageCodeFIN53A07,PageCodeFIN53A07,0,false,false,false,false,false,true,false,
,1,9,27,PageCodeINF46A08,PageCodeINF46A08,0,false,false,false,false,false,true,false,
,1,9,27,PageCodeINS12A03,PageCodeINS12A03,0,false,false,false,false,false,true,false,
,1,9,27,PageCodeINS23A05,PageCodeINS23A05,0,false,false,false,false,false,true,false,
