Id,SkuId,ArchiveId,Name,IsMain,Label,Url
,1511,,Color-TAUPE-SQUIRREL-Size-Md_1,false,Color-TAUPE-SQUIRREL-Size-Md_1,https://images.beallsflorida.com/i/beallsflorida/457-1007-3405-20-yyy?w=1000&h=1000&fmt=auto&qlt=default&img404=404&v=1
,1512,,Color-FUCHSIA-ROSE-PINK-Size-10_1,false,Color-FUCHSIA-ROSE-PINK-Size-10_1,https://images.beallsflorida.com/i/beallsflorida/110-2571-9343-68-yyy?w=1000&h=1000&fmt=auto&qlt=default&img404=404&v=1
,1513,,Color-SEA-PORT-BLUE-Size-32W-30L_1,false,Color-SEA-PORT-BLUE-Size-32W-30L_1,https://images.beallsflorida.com/i/beallsflorida/479-2296-0030-96-yyy?w=1000&h=1000&fmt=auto&qlt=default&img404=404&v=1
,1514,,Color-MEDITERRANEAN-BLUE-Size-40W-30L_1,false,Color-MEDITERRANEAN-BLUE-Size-40W-30L_1,https://images.beallsflorida.com/i/beallsflorida/479-2296-0024-98-yyy?w=1000&h=1000&fmt=auto&qlt=default&img404=404&v=1
,1515,,Color-NEWSBOY-SAGE-GREEN-Size-10_1,false,Color-NEWSBOY-SAGE-GREEN-Size-10_1,https://images.beallsflorida.com/i/beallsflorida/124-6420-5002-35-yyy?w=1000&h=1000&fmt=auto&qlt=default&img404=404&v=1
,1516,,Color-NATURAL-Size-X-Lg_1,false,Color-NATURAL-Size-X-Lg_1,https://images.beallsflorida.com/i/beallsflorida/455-5688-3094-12-yyy?w=1000&h=1000&fmt=auto&qlt=default&img404=404&v=1
,1517,,Color-AEGEAN-BLUE-Size-Medium_1,false,Color-AEGEAN-BLUE-Size-Medium_1,https://images.beallsflorida.com/i/beallsflorida/135-0159-4572-42-yyy?w=1000&h=1000&fmt=auto&qlt=default&img404=404&v=1
,1518,,Color-CREAM-KHAKI-Size-16_1,false,Color-CREAM-KHAKI-Size-16_1,https://images.beallsflorida.com/i/beallsflorida/124-6420-5002-72-yyy?w=1000&h=1000&fmt=auto&qlt=default&img404=404&v=1
,1519,,Color-ARIES-BLUE-Size-16_1,false,Color-ARIES-BLUE-Size-16_1,https://images.beallsflorida.com/i/beallsflorida/127-3188-8315-98-yyy?w=1000&h=1000&fmt=auto&qlt=default&img404=404&v=1
,1520,,Color-BLACK-Size-16_1,false,Color-BLACK-Size-16_1,https://images.beallsflorida.com/i/beallsflorida/109-9274-5379-01-yyy?w=1000&h=1000&fmt=auto&qlt=default&img404=404&v=1
,1521,,Color-CREAM-EGRET-Size-XX-Lg_1,false,Color-CREAM-EGRET-Size-XX-Lg_1,https://images.beallsflorida.com/i/beallsflorida/457-1007-3332-12-yyy?w=1000&h=1000&fmt=auto&qlt=default&img404=404&v=1
,1522,,Color-TAHOE-BLUE-Size-32W-30L_1,false,Color-TAHOE-BLUE-Size-32W-30L_1,https://images.beallsflorida.com/i/beallsflorida/479-2296-1010-98-yyy?w=1000&h=1000&fmt=auto&qlt=default&img404=404&v=1
,1523,,Color-MEDITERRANEAN-BLUE-Size-34W-32L_1,false,Color-MEDITERRANEAN-BLUE-Size-34W-32L_1,https://images.beallsflorida.com/i/beallsflorida/479-2296-0024-98-yyy?w=1000&h=1000&fmt=auto&qlt=default&img404=404&v=1
,1524,,Color-PEACOAT-BLUE-Size-10_1,false,Color-PEACOAT-BLUE-Size-10_1,https://images.beallsflorida.com/i/beallsflorida/107-4832-5873-41-yyy?w=1000&h=1000&fmt=auto&qlt=default&img404=404&v=1
,1525,,Color-OPTIC-WHITE-Size-10_1,false,Color-OPTIC-WHITE-Size-10_1,https://images.beallsflorida.com/i/beallsflorida/127-3188-7033-10-yyy?w=1000&h=1000&fmt=auto&qlt=default&img404=404&v=1
,1526,,Color-GULFSTREAM-GREEN-Size-Md_1,false,Color-GULFSTREAM-GREEN-Size-Md_1,https://images.beallsflorida.com/i/beallsflorida/472-0159-7047-37-yyy?w=1000&h=1000&fmt=auto&qlt=default&img404=404&v=1
,1527,,Color-BLACK-ADDER-Size-8_1,false,Color-BLACK-ADDER-Size-8_1,https://images.beallsflorida.com/i/beallsflorida/145-8991-3204-01-yyy?w=1000&h=1000&fmt=auto&qlt=default&img404=404&v=1
,1528,,Color-SEA-BLUE-Size-Medium_1,false,Color-SEA-BLUE-Size-Medium_1,https://images.beallsflorida.com/i/beallsflorida/127-5002-8554-40-yyy?w=1000&h=1000&fmt=auto&qlt=default&img404=404&v=1
,1529,,Color-BLACK-Size-6_1,false,Color-BLACK-Size-6_1,https://images.beallsflorida.com/i/beallsflorida/110-2571-9887-01-yyy?w=1000&h=1000&fmt=auto&qlt=default&img404=404&v=1
,1530,,Color-AZALEA-PINK-Size-Small_1,false,Color-AZALEA-PINK-Size-Small_1,https://images.beallsflorida.com/i/beallsflorida/112-6420-2644-69-yyy?w=1000&h=1000&fmt=auto&qlt=default&img404=404&v=1
,1531,,Color-FOSSIL-BEIGE-Size-Sm_1,false,Color-FOSSIL-BEIGE-Size-Sm_1,https://images.beallsflorida.com/i/beallsflorida/472-0159-7130-12-yyy?w=1000&h=1000&fmt=auto&qlt=default&img404=404&v=1
,1532,,Color-WHITE-Size-Large_1,false,Color-WHITE-Size-Large_1,https://images.beallsflorida.com/i/beallsflorida/127-5002-8550-10-yyy?w=1000&h=1000&fmt=auto&qlt=default&img404=404&v=1
,1533,,Color-WHITE-Size-Sm_1,false,Color-WHITE-Size-Sm_1,https://images.beallsflorida.com/i/beallsflorida/467-1461-2110-10-yyy?w=1000&h=1000&fmt=auto&qlt=default&img404=404&v=1
,1534,,Color-NEON-LIME-GREEN-Size-X-Lg_1,false,Color-NEON-LIME-GREEN-Size-X-Lg_1,https://images.beallsflorida.com/i/beallsflorida/229-8168-3404-34-yyy?w=1000&h=1000&fmt=auto&qlt=default&img404=404&v=1
,1535,,Color-NORTHERN-LIGHTS-Size-10_1,false,Color-NORTHERN-LIGHTS-Size-10_1,https://images.beallsflorida.com/i/beallsflorida/100-6445-1848-40-yyy?w=1000&h=1000&fmt=auto&qlt=default&img404=404&v=1
,1536,,Color-WHPPED-CREAM-WHITE-Size-8_1,false,Color-WHPPED-CREAM-WHITE-Size-8_1,https://images.beallsflorida.com/i/beallsflorida/110-2571-5746-10-yyy?w=1000&h=1000&fmt=auto&qlt=default&img404=404&v=1
,1537,,Color-SAILOR-NAVY-Size-12_1,false,Color-SAILOR-NAVY-Size-12_1,https://images.beallsflorida.com/i/beallsflorida/117-0352-5145-41-yyy?w=1000&h=1000&fmt=auto&qlt=default&img404=404&v=1
,1538,,Color-NAVY-Size-8_1,false,Color-NAVY-Size-8_1,https://images.beallsflorida.com/i/beallsflorida/111-6493-7603-41-yyy?w=1000&h=1000&fmt=auto&qlt=default&img404=404&v=1
,1539,,Color-HEIRLOOM-BEIGE-Size-6_1,false,Color-HEIRLOOM-BEIGE-Size-6_1,https://images.beallsflorida.com/i/beallsflorida/110-2571-9887-72-yyy?w=1000&h=1000&fmt=auto&qlt=default&img404=404&v=1
,1540,,Color-CORK-BEIGE-Size-X-Large_1,false,Color-CORK-BEIGE-Size-X-Large_1,https://images.beallsflorida.com/i/beallsflorida/112-7455-2669-24-yyy?w=1000&h=1000&fmt=auto&qlt=default&img404=404&v=1
,1541,,Color-AIRLINE-BLUE-Size-38W-29L_1,false,Color-AIRLINE-BLUE-Size-38W-29L_1,https://images.beallsflorida.com/i/beallsflorida/479-2296-1010-96-yyy?w=1000&h=1000&fmt=auto&qlt=default&img404=404&v=1
