Id,SkuId,FieldId,FieldValueId,Text
0,402,3213,2345,
0,351,3213,2345,
0,1943,3213,2345,
0,2646,3213,2345,
0,2930,3213,2345,
0,1301,3213,2346,
0,1293,3213,2346,
0,274,3213,2346,
0,1379,3213,2346,
0,2852,3213,2346,
0,1422,3213,2347,
0,1025,3213,2347,
0,1354,3213,2347,
0,1703,3213,2347,
0,893,3213,2347,
0,890,3213,2348,
0,2291,3213,2348,
0,1866,3213,2348,
0,2535,3213,2348,
0,887,3213,2349,
0,3256,3213,2349,
0,2655,3213,2349,
0,1624,3213,2349,
0,974,3213,2349,
0,1736,3213,2350,
0,996,3213,2350,
0,1396,3213,2350,
0,460,3213,2350,
0,2070,3213,2350,
0,3266,3213,2351,
0,1680,3213,2351,
0,623,3213,2351,
0,154,3213,2351,
0,3190,3213,2351,
0,2858,3213,2352,
0,2959,3213,2352,
0,2113,3213,2352,
0,2601,3213,2352,
0,687,3213,2352,
0,2958,3213,2353,
0,1665,3213,2353,
0,2711,3213,2353,
0,965,3213,2353,
0,866,3213,2353,
0,3152,3213,2354,
0,140,3213,2354,
0,3145,3213,2354,
0,1149,3213,2354,
0,1265,3213,2354,
0,2343,3213,2355,
0,385,3213,2355,
0,293,3213,2355,
0,2816,3213,2355,
0,1043,3213,2355,
0,3321,3213,2356,
0,2482,3213,2356,
0,2080,3213,2356,
0,2841,3213,2356,
0,1531,3213,2356,
0,662,3213,2357,
0,2172,3213,2357,
0,900,3213,2357,
0,1599,3213,2357,
0,576,3213,2357,
0,1170,3213,2358,
0,188,3213,2358,
0,1086,3213,2358,
0,2845,3213,2358,
0,3188,3213,2358,
0,63,3214,2359,
0,1475,3214,2359,
0,568,3214,2359,
0,129,3214,2359,
0,975,3214,2359,
0,1805,3214,2359,
0,731,3214,2359,
0,3296,3214,2359,
0,1717,3214,2359,
0,2821,3214,2359,
0,1852,3214,2359,
0,830,3214,2359,
0,901,3214,2359,
0,245,3214,2359,
0,2139,3214,2359,
0,1302,3214,2359,
0,857,3214,2359,
0,108,3214,2359,
0,281,3214,2359,
0,1700,3214,2359,
0,3204,3214,2359,
0,2083,3214,2359,
0,551,3214,2359,
0,2454,3214,2359,
0,1716,3214,2359,
0,2787,3214,2359,
0,3280,3214,2359,
0,3329,3214,2359,
0,2140,3214,2359,
0,1871,3214,2359,
0,1578,3214,2359,
0,3253,3214,2359,
0,1669,3214,2359,
0,3312,3214,2359,
0,3116,3214,2359,
0,3333,3214,2359,
0,1213,3214,2359,
0,787,3214,2360,
0,1360,3214,2360,
0,1420,3214,2360,
0,2981,3214,2360,
0,1764,3214,2360,
0,48,3214,2360,
0,2557,3214,2360,
0,2905,3214,2360,
0,3294,3214,2360,
0,2244,3214,2360,
0,2325,3214,2360,
0,2319,3214,2360,
0,2748,3214,2360,
0,2354,3214,2360,
0,3274,3214,2360,
0,2644,3214,2360,
0,2294,3214,2360,
0,591,3214,2360,
0,1335,3214,2360,
0,1076,3214,2360,
0,1162,3214,2360,
0,1182,3214,2360,
0,2768,3214,2360,
0,2414,3214,2360,
0,1365,3214,2360,
0,2271,3214,2360,
0,2441,3214,2360,
0,720,3214,2360,
0,219,3214,2360,
0,117,3214,2360,
0,2370,3214,2360,
0,1893,3214,2360,
0,2125,3214,2360,
0,2889,3214,2360,
0,2475,3214,2360,
0,2422,3214,2360,
0,923,3214,2360,
0,884,3214,2360,
0,679,3214,2361,
0,1794,3214,2361,
0,2197,3214,2361,
0,540,3214,2361,
0,716,3214,2361,
0,978,3214,2361,
0,2688,3214,2361,
0,1915,3214,2361,
0,1012,3214,2361,
0,3326,3214,2361,
0,2216,3214,2361,
0,2373,3214,2361,
0,132,3214,2361,
0,3009,3214,2361,
0,937,3214,2361,
0,519,3214,2361,
0,2282,3214,2361,
0,97,3214,2361,
0,556,3214,2362,
0,1582,3214,2362,
0,2071,3214,2362,
0,2892,3214,2362,
0,1960,3214,2362,
0,2122,3214,2362,
0,656,3214,2362,
0,2377,3214,2362,
0,2189,3214,2362,
0,2612,3214,2362,
0,1269,3214,2362,
0,2934,3214,2362,
0,1257,3214,2362,
0,1448,3214,2362,
0,817,3213,2363,
0,2534,3213,2363,
0,1053,3213,2363,
0,1662,3213,2363,
0,2907,3213,2363,
0,1212,3213,2364,
0,2218,3213,2364,
0,1116,3213,2364,
0,2446,3213,2364,
0,696,3213,2364,
0,1440,3213,2365,
0,3132,3213,2365,
0,1597,3213,2365,
0,2670,3213,2365,
0,359,3213,2346,
0,2178,3213,2346,
0,2988,3213,2346,
0,1087,3213,2346,
0,2478,3213,2366,
0,3048,3213,2366,
0,2577,3213,2366,
0,2059,3213,2366,
0,3153,3213,2366,
0,2315,3213,2367,
0,2758,3213,2367,
0,1606,3213,2367,
0,1478,3213,2367,
0,1367,3213,2367,
0,2908,3213,2368,
0,367,3213,2368,
0,770,3213,2368,
0,30,3213,2369,
0,406,3213,2369,
0,71,3213,2370,
0,1526,3213,2370,
0,337,3213,2370,
0,2823,3213,2370,
0,933,3213,2370,
0,1326,3213,2371,
0,2455,3213,2371,
0,2669,3213,2371,
0,3097,3213,2371,
0,3165,3213,2371,
0,83,3213,2372,
0,2368,3213,2372,
0,1098,3213,2372,
0,222,3213,2372,
0,1094,3213,2372,
0,1976,3213,2356,
0,2238,3213,2356,
0,3364,3213,2356,
0,13,3213,2356,
0,343,3213,2356,
0,1721,3213,2357,
0,941,3213,2357,
0,1753,3213,2357,
0,91,3213,2357,
0,3155,3213,2357,
0,2609,3213,2373,
0,711,3213,2373,
0,85,3213,2373,
0,1556,3213,2373,
0,2256,3213,2373,
0,1334,3214,2374,
0,2142,3214,2374,
0,2159,3214,2374,
0,1319,3214,2374,
0,2107,3214,2374,
0,1635,3214,2374,
0,3072,3214,2374,
0,1569,3214,2374,
0,2982,3214,2374,
0,1191,3214,2374,
0,2635,3214,2374,
0,1656,3214,2374,
0,740,3214,2374,
0,1203,3214,2374,
0,2998,3214,2374,
0,1147,3214,2375,
0,1063,3214,2375,
0,414,3214,2375,
0,1567,3214,2375,
0,3339,3214,2375,
0,439,3214,2375,
0,1523,3214,2375,
0,3042,3214,2375,
0,1611,3214,2375,
0,2470,3214,2375,
0,232,3214,2375,
0,287,3214,2375,
0,3355,3214,2375,
0,1490,3214,2375,
0,1514,3214,2375,
0,2473,3214,2375,
0,2277,3214,2375,
0,2376,3214,2376,
0,3249,3214,2376,
0,2918,3214,2376,
0,2886,3214,2376,
0,769,3214,2376,
0,3258,3214,2376,
0,2232,3214,2376,
0,1558,3214,2376,
0,2876,3214,2376,
0,919,3214,2376,
0,2891,3214,2376,
0,2564,3214,2376,
0,1237,3214,2376,
0,2555,3214,2376,
0,585,3214,2377,
0,871,3214,2377,
0,617,3214,2377,
0,3212,3214,2377,
0,1983,3214,2377,
0,1492,3214,2377,
0,2398,3214,2377,
0,2212,3214,2377,
0,1756,3214,2377,
0,1604,3214,2377,
0,639,3214,2377,
0,3117,3214,2377,
0,2103,3214,2377,
0,1710,3214,2377,
0,1473,3214,2377,
0,2760,3214,2377,
0,2598,3214,2377,
0,526,3214,2378,
0,283,3214,2378,
0,1975,3214,2378,
0,52,3214,2378,
0,1731,3214,2378,
0,160,3214,2378,
0,1896,3214,2378,
0,2261,3214,2378,
0,3292,3214,2378,
0,1205,3214,2378,
0,1841,3214,2378,
0,1969,3214,2378,
0,101,3214,2378,
0,1723,3214,2378,
0,1765,3214,2378,
0,2061,3214,2378,
0,346,3214,2378,
0,2154,3214,2378,
0,3178,3214,2378,
0,3324,3214,2378,
0,2797,3215,2379,
0,2600,3215,2379,
0,2027,3215,2379,
0,1930,3215,2379,
0,1547,3215,2379,
0,648,3215,2379,
0,1661,3215,2380,
0,432,3215,2380,
0,1589,3215,2380,
0,145,3215,2380,
0,2887,3215,2380,
0,2018,3215,2380,
0,616,3215,2381,
0,3139,3215,2381,
0,1929,3215,2381,
0,2144,3215,2381,
0,906,3215,2381,
0,1397,3215,2381,
0,809,3215,2382,
0,2167,3215,2382,
0,691,3215,2382,
0,2569,3215,2382,
