ProductRefId,Name,Description,Value,Position,IsFilter,IsRequired,IsOnProductDetails,IsStockKeepingUnit,IsWizard,IsActive,IsTopMenuLinkActive,DefaultValue
P000205681,SizeChart,SizeChart,http://www.beallsflorida.com/default?page=SizeChart,0,false,false,false,false,false,true,false,
P000205682,SizeChart,SizeChart,http://www.beallsflorida.com/default?page=SizeChart,0,false,false,false,false,false,true,false,
P000205722,SizeChart,SizeChart,http://www.beallsflorida.com/default?page=SizeChart,0,false,false,false,false,false,true,false,
P000205723,SizeChart,SizeChart,http://www.beallsflorida.com/default?page=SizeChart,0,false,false,false,false,false,true,false,
P000205726,SizeChart,SizeChart,http://www.beallsflorida.com/default?page=SizeChart,0,false,false,false,false,false,true,false,
P000205756,SizeChart,SizeChart,http://www.beallsflorida.com/default?page=Jrssz,0,false,false,false,false,false,true,false,
P000205774,SizeChart,SizeChart,http://www.beallsflorida.com/default?page=Jrssz,0,false,false,false,false,false,true,false,
P000205780,SizeChart,SizeChart,http://www.beallsflorida.com/default?page=Jrssz,0,false,false,false,false,false,true,false,
P000205791,SizeChart,SizeChart,http://www.beallsflorida.com/default?page=Jrssz,0,false,false,false,false,false,true,false,
P000205792,SizeChart,SizeChart,http://www.beallsflorida.com/default?page=Jrssz,0,false,false,false,false,false,true,false,
P000206649,SizeChart,SizeChart,http://www.beallsflorida.com/default?page=Mspants,0,false,false,false,false,false,true,false,
P000206671,SizeChart,SizeChart,http://www.beallsflorida.com/default?page=Mspants,0,false,false,false,false,false,true,false,
P000206675,SizeChart,SizeChart,http://www.beallsflorida.com/default?page=Mspants,0,false,false,false,false,false,true,false,
P000206683,SizeChart,SizeChart,http://www.beallsflorida.com/default?page=Mspants,0,false,false,false,false,false,true,false,
P000206779,SizeChart,SizeChart,http://www.beallsflorida.com/default?page=Mspants,0,false,false,false,false,false,true,false,
P000206783,SizeChart,SizeChart,http://www.beallsflorida.com/default?page=Mspants,0,false,false,false,false,false,true,false,
P000206866,SizeChart,SizeChart,http://www.beallsflorida.com/default?page=SizeChart,0,false,false,false,false,false,true,false,
P000206870,SizeChart,SizeChart,http://www.beallsflorida.com/default?page=SizeChart,0,false,false,false,false,false,true,false,
P000206871,SizeChart,SizeChart,http://www.beallsflorida.com/default?page=SizeChart,0,false,false,false,false,false,true,false,
P000206882,SizeChart,SizeChart,http://www.beallsflorida.com/default?page=SizeChart,0,false,false,false,false,false,true,false,
P000206886,SizeChart,SizeChart,http://www.beallsflorida.com/default?page=SizeChart,0,false,false,false,false,false,true,false,
P000206888,SizeChart,SizeChart,http://www.beallsflorida.com/default?page=SizeChart,0,false,false,false,false,false,true,false,
